ceil,wall,eff_floor,cavity_ratio,mf
70,30,10,2,0.957
70,30,10,3,0.966
70,30,10,4,0.973
70,30,10,5,0.978
70,30,10,6,0.982
70,30,10,7,0.985
70,30,10,8,0.987
70,30,10,9,0.989
70,30,10,10,0.99
70,10,10,1,0.948
70,10,10,2,0.963
70,10,10,3,0.973
70,10,10,4,0.98
70,10,10,5,0.985
70,10,10,6,0.989
70,10,10,7,0.991
70,10,10,8,0.993
70,10,10,9,0.994
70,10,10,10,0.995
50,50,10,1,0.956
50,50,10,2,0.962
50,50,10,3,0.967
50,50,10,4,0.972
50,50,10,5,0.975
50,50,10,6,0.977
50,50,10,7,0.979
50,50,10,8,0.981
50,50,10,9,0.983
50,50,10,10,0.984
50,30,10,1,0.96
50,30,10,2,0.968
50,30,10,3,0.975
50,30,10,4,0.98
50,30,10,5,0.983
50,30,10,6,0.985
50,30,10,7,0.987
50,30,10,8,0.988
50,30,10,9,0.99
50,30,10,10,0.991
50,10,10,1,0.963
50,10,10,2,0.974
50,10,10,3,0.981
50,10,10,4,0.986
50,10,10,5,0.989
50,10,10,6,0.992
50,10,10,7,0.994
50,10,10,8,0.995
50,10,10,9,0.996
50,10,10,10,0.997
30,50,10,1,0.973
30,50,10,2,0.976
30,50,10,3,0.978
30,50,10,4,0.98
30,50,10,5,0.981
30,50,10,6,0.982
30,50,10,7,0.983
30,50,10,8,0.984
30,50,10,9,0.985
30,50,10,10,0.986
30,30,10,1,0.976
30,30,10,2,0.98
30,30,10,3,0.983
30,30,10,4,0.986
30,30,10,5,0.988
30,30,10,6,0.989
30,30,10,7,0.99
30,30,10,8,0.991
30,30,10,9,0.992
30,30,10,10,0.993
30,10,10,1,0.979
30,10,10,2,0.985
30,10,10,3,0.988
30,10,10,4,0.991
30,10,10,5,0.993
30,10,10,6,0.995
30,10,10,7,0.996
30,10,10,8,0.997
30,10,10,9,0.998
30,10,10,10,0.998
10,50,10,1,0.989
10,50,10,2,0.988
10,50,10,3,0.988
10,50,10,4,0.987
10,50,10,5,0.987
10,50,10,6,0.987
10,50,10,7,0.987
10,50,10,8,0.987
10,50,10,9,0.988
10,50,10,10,0.988
10,30,10,1,0.991
10,30,10,2,0.991
10,30,10,3,0.992
10,30,10,4,0.992
10,30,10,5,0.992
10,30,10,6,0.993
10,30,10,7,0.993
10,30,10,8,0.994
10,30,10,9,0.994
10,30,10,10,0.994
10,10,10,1,0.993
10,10,10,2,0.995
10,10,10,3,0.996
10,10,10,4,0.996
10,10,10,5,0.997
10,10,10,6,0.997
10,10,10,7,0.998
10,10,10,8,0.998
10,10,10,9,0.999
10,10,10,10,0.999
80,70,0,1,0.859
80,70,0,2,0.871
80,70,0,3,0.882
80,70,0,4,0.893
80,70,0,5,0.903
80,70,0,6,0.911
80,70,0,7,0.917
80,70,0,8,0.922
80,70,0,9,0.928
80,70,0,10,0.933
80,50,0,1,0.87
80,50,0,2,0.887
80,50,0,3,0.904
80,50,0,4,0.919
80,50,0,5,0.931
80,50,0,6,0.94
80,50,0,7,0.947
80,50,0,8,0.953
80,50,0,9,0.958
80,50,0,10,0.962
80,30,0,1,0.879
80,30,0,2,0.903
80,30,0,3,0.915
80,30,0,4,0.941
80,30,0,5,0.953
80,30,0,6,0.961
80,30,0,7,0.967
80,30,0,8,0.971
80,30,0,9,0.975
80,30,0,10,0.979
80,10,0,1,0.886
80,10,0,2,0.919
80,10,0,3,0.942
80,10,0,4,0.958
80,10,0,5,0.969
80,10,0,6,0.976
80,10,0,7,0.981
80,10,0,8,0.985
80,10,0,9,0.988
80,10,0,10,0.991
70,70,0,1,0.873
70,70,0,2,0.886
70,70,0,3,0.898
70,70,0,4,0.908
70,70,0,5,0.914
70,70,0,6,0.92
70,70,0,7,0.924
70,70,0,8,0.929
70,70,0,9,0.933
70,70,0,10,0.937
70,50,0,1,0.884
70,50,0,2,0.902
70,50,0,3,0.918
70,50,0,4,0.93
70,50,0,5,0.939
70,50,0,6,0.945
70,50,0,7,0.95
70,50,0,8,0.955
70,50,0,9,0.959
70,50,0,10,0.963
70,30,0,1,0.893
70,30,0,2,0.916
70,30,0,3,0.934
70,30,0,4,0.948
70,30,0,5,0.958
70,30,0,6,0.965
70,30,0,7,0.97
70,30,0,8,0.975
70,30,0,9,0.98
70,30,0,10,0.983
70,10,0,1,0.901
70,10,0,2,0.928
70,10,0,3,0.947
70,10,0,4,0.961
